0,14,2,true,17.978191,1,1
0,14,3,true,25.863171,1,1
0,14,4,true,33.262730,1,1
0,14,5,true,26.478052,1,1
0,14,6,true,27.226210,1,1
0,14,7,true,26.990891,1,1
0,14,8,true,9.489775,1,1
0,14,9,true,0.208139,1,1
0,14,10,true,0.194550,1,1
0,14,11,true,0.366449,1,1
0,14,12,true,0.162601,1,1
0,14,13,true,0.153780,1,1
0,14,14,true,0.140667,1,1
0,14,1,false,11.376858,1,1
1,13,2,true,89.473963,10,2
1,13,3,true,85.056067,10,2
1,13,4,true,92.641115,10,2
1,13,5,true,62.508821,10,2
1,13,6,true,0.580549,10,2
1,13,7,true,67.508221,10,2
1,13,8,true,0.572205,10,2
1,13,9,true,3.225088,10,2
1,13,10,true,0.518560,10,2
1,13,11,true,0.372171,10,2
1,13,12,true,0.326157,10,2
1,13,13,true,0.244856,10,2
1,13,14,true,23.305178,10,2
1,13,1,false,77.544212,10,2
2,12,2,true,123.375177,21,4
2,12,3,true,79.694271,21,4
2,12,4,true,46.391010,21,4
2,12,5,true,48.939228,21,4
2,12,6,true,1.055717,21,4
2,12,7,true,62.549353,21,4
2,12,8,true,0.739336,21,4
2,12,9,true,3.139019,21,4
2,12,10,true,0.671864,21,4
2,12,11,true,0.709772,21,4
2,12,12,true,0.644684,21,4
2,12,13,true,35.627604,21,4
2,12,14,true,0.437260,21,4
2,12,1,false,2339.516640,30,4
3,11,2,true,2182.363272,41,8
3,11,3,true,83.455563,32,8
3,11,4,true,87.933302,32,8
3,11,5,true,7.277727,32,8
3,11,6,true,50.693035,32,8
3,11,7,true,1.065254,32,8
3,11,8,true,1.074076,32,8
3,11,9,true,0.940084,32,8
3,11,10,true,0.889540,32,8
3,11,11,true,1.874447,32,8
3,11,12,true,44.341564,32,8
3,11,13,true,1.691580,32,8
3,11,14,true,0.743151,32,8
3,11,1,false,7008.011341,81,8
4,10,2,true,2209.654808,59,16
4,10,3,true,2138.988256,52,16
4,10,4,true,66.852570,43,16
4,10,5,true,1.737118,43,16
4,10,6,true,56.375265,43,16
4,10,7,true,1.199961,43,16
4,10,8,true,1.096725,43,16
4,10,9,true,1.832962,43,16
4,10,10,true,1.240015,43,16
4,10,11,true,24.738073,43,16
4,10,12,true,1.169920,43,16
4,10,13,true,0.583172,43,16
4,10,14,true,0.473261,43,16
4,10,1,false,16083.928108,204,16
5,9,2,true,6420.334578,110,32
5,9,3,true,2126.953125,70,32
5,9,4,true,2097.033262,63,32
5,9,5,true,54.793358,54,32
5,9,6,true,2.035856,54,32
5,9,7,true,0.970840,54,32
5,9,8,true,0.931263,54,32
5,9,9,true,0.930309,54,32
5,9,10,true,26.302814,54,32
5,9,11,true,1.137018,54,32
5,9,12,true,0.871897,54,32
5,9,13,true,1.658678,54,32
5,9,14,true,0.756264,54,32
5,9,1,false,34522.115946,499,32
6,8,2,true,6515.811682,161,64
6,8,3,true,2161.188364,88,64
6,8,4,true,2111.722231,81,64
6,8,5,true,2097.827673,74,64
6,8,6,true,59.333086,65,64
6,8,7,true,1.556873,65,64
6,8,8,true,1.376867,65,64
6,8,9,true,28.126478,65,64
6,8,10,true,1.241922,65,64
6,8,11,true,1.124382,65,64
6,8,12,true,1.184225,65,64
6,8,13,true,0.855684,65,64
6,8,14,true,1.178503,65,64
6,8,1,false,71683.937311,1401,64
7,7,2,true,14906.983376,284,128
7,7,3,true,6296.712399,139,128
7,7,4,true,2102.539778,99,128
7,7,5,true,2099.964380,92,128
7,7,6,true,1.974583,85,128
7,7,7,true,58.909178,76,128
7,7,8,true,26.947021,76,128
7,7,9,true,1.328945,76,128
7,7,10,true,0.931263,76,128
7,7,11,true,0.893831,76,128
7,7,12,true,0.822306,76,128
7,7,13,true,0.725269,76,128
7,7,14,true,0.730515,76,128
7,7,1,false,148324.430704,3118,128
8,6,2,true,15087.326527,407,256
8,6,3,true,6311.004400,190,256
8,6,4,true,2133.905172,117,256
8,6,5,true,3.496885,110,256
8,6,6,true,2.566576,103,256
8,6,7,true,2112.792969,101,256
8,6,8,true,33.104658,87,256
8,6,9,true,1.114368,87,256
8,6,10,true,1.011848,87,256
8,6,11,true,0.885248,87,256
8,6,12,true,0.805140,87,256
8,6,13,true,0.750065,87,256
8,6,14,true,0.690937,87,256
8,6,1,false,314459.060669,6849,256
9,5,2,true,31787.971258,702,512
9,5,3,true,6341.459990,241,512
9,5,4,true,6230.921984,168,512
9,5,5,true,3.776550,128,512
9,5,6,true,2114.461899,126,512
9,5,7,true,2113.183498,124,512
9,5,8,true,1.607895,112,512
9,5,9,true,33.792734,98,512
9,5,10,true,1.128912,98,512
9,5,11,true,0.945568,98,512
9,5,12,true,0.857830,98,512
9,5,13,true,0.821829,98,512
9,5,14,true,0.738144,98,512
9,5,1,false,706933.913946,14814,512
10,4,2,true,32338.452339,997,1024
10,4,3,true,14723.243475,364,1024
10,4,4,true,6231.172323,219,1024
10,4,5,true,2127.740145,151,1024
10,4,6,true,2115.393639,149,1024
10,4,7,true,2.354622,147,1024
10,4,8,true,1.817703,135,1024
10,4,9,true,1.514196,123,1024
10,4,10,true,36.103487,109,1024
10,4,11,true,1.317024,109,1024
10,4,12,true,1.129627,109,1024
10,4,13,true,1.077652,109,1024
10,4,14,true,0.968695,109,1024
10,4,1,false,1625335.149527,31230,1024
11,3,2,true,66387.331724,1899,2048
11,3,3,true,14735.219717,487,2048
11,3,4,true,6293.237686,287,2048
11,3,5,true,6295.587301,219,2048
11,3,6,true,3.796577,172,2048
11,3,7,true,2.663136,170,2048
11,3,8,true,2.254486,158,2048
11,3,9,true,1.807928,146,2048
11,3,10,true,2.125025,134,2048
11,3,11,true,35.593271,120,2048
11,3,12,true,1.103163,120,2048
11,3,13,true,0.938654,120,2048
11,3,14,true,0.953197,120,2048
